,District,Latitude,Longitude
483,Kandhamal,20.09287862,84.02216353
484,Kendrapara,20.60631982,86.83763248
485,Kendujhar,21.5892323,85.66878414
486,Khordha,20.05416232,85.52234834
487,Koraput,18.82627795,82.8127847
488,Malkangiri,18.2522793,81.98293636
489,Mayurbhanj,21.89762155,86.40304081
490,Nabarangapur,19.60962325,82.29876854
491,Nayagarh,20.19289562,85.056147
492,Nuapada,20.47130951,82.59152537
493,Puri,19.83509175,85.8669899
494,Rayagada,19.29284002,83.4586012
495,Sambalpur,21.51575238,84.34958483
496,Subarnapur,27.2274941,84.71486465
497,Sundargarh,22.06354819,84.50524819
498,Karaikal,10.87616173,79.82369794
499,Mahe,12.00642079,75.28275022
500,Puducherry,11.88780627,79.79710961
501,Yanam,16.70769565,82.26187304
502,Amritsar,31.54867982,74.79883857
503,Barnala,30.3704685,75.50401742
504,Bathinda,30.19052461,75.05685898
505,Faridkot,30.59118725,74.79751554
506,Fatehgarh Sahib,30.64290947,76.36208395
507,Fazilka,30.3360996,74.11794319
508,Ferozepur,30.6839733,76.3594033
509,Gurdaspur,32.04283371,75.32040644
510,Hoshiarpur,31.5515717,75.84698574
511,Jalandhar,31.25033691,75.54400351
512,Kapurthala,31.33659264,75.47641166
513,Ludhiana,30.76596397,75.83110852
514,Mansa,29.91954771,75.43049229
515,Moga,30.75654007,75.16008451
516,Pathankot,32.3017104,75.65864247
517,Patiala,30.21454038,76.27505894
518,Rupnagar,30.91093733,76.53743501
519,Sangrur,30.1850452,75.89437014
520,S.A.S. Nagar,30.676694,76.70848831
521,Shahid Bhagat Singh Nagar,28.59474195,77.08914329
522,Sri Muktsar Sahib,30.4692,74.5182
523,Tarn Taran,31.32124525,74.84130629
524,Ajmer,26.19930038,74.69904192
525,Alwar,27.55271738,76.65359631
526,Banswara,23.45364203,74.44246868
527,Baran,24.98023243,76.86210652
528,Barmer,25.77070908,71.50297126
529,Bharatpur,27.32411858,77.21752077
530,Bhilwara,25.45119768,74.63947596
531,Bikaner,28.12489068,73.26943323
532,Bundi,25.48580716,75.79984074
533,Chittorgarh,24.718026,74.47214697
